timeRange,email,amount
24h,"olivia.martin@email.com","R$ 150,00"
24h,"john.doe@email.com","R$ 450,00"
24h,"jane.smith@email.com","R$ 300,00"
24h,"diogo.baguiar@email.com","R$ 500,00"
7d,"olivia.martin@email.com","R$ 150,00"
7d,"john.doe@email.com","R$ 450,00"
7d,"jane.smith@email.com","R$ 300,00"
7d,"olivia.martin@email.com","R$ 150,00"
7d,"john.doe@email.com","R$ 450,00"
7d,"jane.smith@email.com","R$ 300,00"
30d,"olivia.martin@email.com","R$ 150,00"
30d,"john.doe@email.com","R$ 450,00"
30d,"jane.smith@email.com","R$ 300,00"
30d,"olivia.martin@email.com","R$ 150,00"
30d,"john.doe@email.com","R$ 450,00"
30d,"jane.smith@email.com","R$ 300,00"
12m,"olivia.martin@email.com","R$ 150,00"
12m,"john.doe@email.com","R$ 450,00"
12m,"jane.smith@email.com","R$ 300,00"
12m,"olivia.martin@email.com","R$ 150,00"
12m,"john.doe@email.com","R$ 450,00"
12m,"jane.smith@email.com","R$ 300,00"
